time,temperature
2026-05-06T00:00,12.2
2026-05-06T01:00,11.9
2026-05-06T02:00,11.6
2026-05-06T03:00,11.5
2026-05-06T04:00,11.6
2026-05-06T05:00,11.4
2026-05-06T06:00,11.1
2026-05-06T07:00,11.1
2026-05-06T08:00,11.0
2026-05-06T09:00,11.3
2026-05-06T10:00,11.8
2026-05-06T11:00,11.9
2026-05-06T12:00,12.3
2026-05-06T13:00,12.4
2026-05-06T14:00,12.4
2026-05-06T15:00,12.7
2026-05-06T16:00,12.6
2026-05-06T17:00,12.2
2026-05-06T18:00,11.6
2026-05-06T19:00,11.2
2026-05-06T20:00,10.5
2026-05-06T21:00,9.8
2026-05-06T22:00,8.9
2026-05-06T23:00,7.8
2026-05-07T00:00,7.4
2026-05-07T01:00,6.9
2026-05-07T02:00,6.9
2026-05-07T03:00,6.8
2026-05-07T04:00,6.8
2026-05-07T05:00,6.9
2026-05-07T06:00,7.0
2026-05-07T07:00,7.5
2026-05-07T08:00,8.2
2026-05-07T09:00,9.0
2026-05-07T10:00,10.0
2026-05-07T11:00,11.1
2026-05-07T12:00,11.6
2026-05-07T13:00,12.0
2026-05-07T14:00,12.0
2026-05-07T15:00,12.0
2026-05-07T16:00,12.1
2026-05-07T17:00,11.9
2026-05-07T18:00,11.7
2026-05-07T19:00,11.1
2026-05-07T20:00,10.6
2026-05-07T21:00,10.0
2026-05-07T22:00,9.6
2026-05-07T23:00,9.1
2026-05-08T00:00,8.6
2026-05-08T01:00,8.2
2026-05-08T02:00,7.8
2026-05-08T03:00,7.5
2026-05-08T04:00,7.0
2026-05-08T05:00,7.1
2026-05-08T06:00,7.9
2026-05-08T07:00,9.3
2026-05-08T08:00,10.8
2026-05-08T09:00,12.3
2026-05-08T10:00,13.6
2026-05-08T11:00,14.7
2026-05-08T12:00,15.4
2026-05-08T13:00,16.1
2026-05-08T14:00,15.9
2026-05-08T15:00,15.3
2026-05-08T16:00,14.7
2026-05-08T17:00,14.2
2026-05-08T18:00,13.5
2026-05-08T19:00,12.3
2026-05-08T20:00,11.4
2026-05-08T21:00,10.7
2026-05-08T22:00,9.9
2026-05-08T23:00,9.1
2026-05-09T00:00,8.3
2026-05-09T01:00,7.5
2026-05-09T02:00,6.9
2026-05-09T03:00,6.3
2026-05-09T04:00,6.0
2026-05-09T05:00,6.5
2026-05-09T06:00,8.0
2026-05-09T07:00,10.0
2026-05-09T08:00,12.3
2026-05-09T09:00,14.1
2026-05-09T10:00,15.1
2026-05-09T11:00,15.8
2026-05-09T12:00,16.3
2026-05-09T13:00,16.3
2026-05-09T14:00,16.4
2026-05-09T15:00,16.4
2026-05-09T16:00,16.4
2026-05-09T17:00,16.0
2026-05-09T18:00,15.4
2026-05-09T19:00,14.1
2026-05-09T20:00,12.6
2026-05-09T21:00,11.6
2026-05-09T22:00,10.9
2026-05-09T23:00,10.3
2026-05-10T00:00,9.7
2026-05-10T01:00,9.1
2026-05-10T02:00,8.5
2026-05-10T03:00,8.4
2026-05-10T04:00,8.8
2026-05-10T05:00,9.7
2026-05-10T06:00,10.9
2026-05-10T07:00,12.8
2026-05-10T08:00,15.0
2026-05-10T09:00,17.0
2026-05-10T10:00,18.3
2026-05-10T11:00,19.2
2026-05-10T12:00,19.9
2026-05-10T13:00,20.4
2026-05-10T14:00,20.8
2026-05-10T15:00,20.8
2026-05-10T16:00,20.6
2026-05-10T17:00,20.1
2026-05-10T18:00,19.4
2026-05-10T19:00,18.2
2026-05-10T20:00,16.7
2026-05-10T21:00,15.5
2026-05-10T22:00,14.9
2026-05-10T23:00,14.6
2026-05-11T00:00,14.1
2026-05-11T01:00,13.2
2026-05-11T02:00,12.1
2026-05-11T03:00,11.3
2026-05-11T04:00,10.9
2026-05-11T05:00,10.8
2026-05-11T06:00,10.8
2026-05-11T07:00,10.6
2026-05-11T08:00,10.5
2026-05-11T09:00,10.6
2026-05-11T10:00,11.1
2026-05-11T11:00,11.8
2026-05-11T12:00,12.5
2026-05-11T13:00,13.2
2026-05-11T14:00,13.9
2026-05-11T15:00,14.3
2026-05-11T16:00,13.7
2026-05-11T17:00,12.9
2026-05-11T18:00,12.2
2026-05-11T19:00,11.0
2026-05-11T20:00,9.6
2026-05-11T21:00,8.4
2026-05-11T22:00,7.6
2026-05-11T23:00,6.9
2026-05-12T00:00,6.3
2026-05-12T01:00,5.4
2026-05-12T02:00,4.6
2026-05-12T03:00,4.1
2026-05-12T04:00,4.3
2026-05-12T05:00,4.9
2026-05-12T06:00,5.8
2026-05-12T07:00,7.1
2026-05-12T08:00,8.6
2026-05-12T09:00,9.9
2026-05-12T10:00,10.7
2026-05-12T11:00,11.3
2026-05-12T12:00,11.8
2026-05-12T13:00,12.4
2026-05-12T14:00,12.9
2026-05-12T15:00,13.3
2026-05-12T16:00,13.4
2026-05-12T17:00,13.2
2026-05-12T18:00,13.0
2026-05-12T19:00,12.5
2026-05-12T20:00,11.8
2026-05-12T21:00,11.2
2026-05-12T22:00,10.8
2026-05-12T23:00,10.5
